t,P
0,0
120,0
240,0
360,0
480,0
600,0
720,0
840,1487.361111
960,5919.451388
1080,8897.027778
1200,8935.402778
1320,8956.013888
1440,8996.25
1560,9043.076388
1680,9075.798612
1800,9090.826388
1920,8971.909722
2040,9000
2160,9020.618055
2280,9027.152778
2400,9022.479167
2520,8996.25
2640,8752.833333
2760,8758.458333
2880,8762.194445
3000,8772.506945
3120,8775.319445
3240,8788.416667
3360,8786.5625
3480,8780.9375
3600,8733.180555
3720,8775.319445
3840,8810.888888
3960,8772.506945
4080,8777.1875
4200,8777.1875
4320,8791.208333
4440,8783.743055
4560,8799.659722
4680,8778.145833
4800,8779.083333
4920,8780.944445
5040,8782.791667
5160,8767.833333
5280,8735.958333
5400,8773.423612
5520,8777.1875
5640,8762.208333
5760,8804.305555
5880,8820.215278
6000,8606.729167
6120,8674.152778
6240,7896.965278
6360,7909.159722
6480,7916.666667
6600,7914.777778
6720,7902.597222
6840,7902.597222
6960,7942.861112
7080,8816.513888
7200,8829.590278
7320,8782.791667
7440,8822.097222
7560,8809.006945
7680,8832.402778
7800,8824.902778
7920,8846.423612
8040,8813.673612
8160,8824.909722
8280,8815.541667
8400,8812.75
8520,8813.666667
8640,8810.881945
8760,8815.5625
8880,8823.055555
9000,8838.013888
9120,8842.694445
9240,8837.069445
9360,8833.326388
9480,8851.111112
9600,8861.430555
9720,8846.430555
9840,8834.270833
9960,8830.527778
10080,8838.944445
10200,9158.243055
10320,10608.61111
10440,10632.99306
10560,8936.354167
10680,6932.625
10800,6935.402778
10920,6953.180555
11040,6953.180555
11160,6970.972222
11280,6987.8125
11400,6966.284722
11520,6991.5625
11640,6953.194445
11760,6977.513888
11880,6957.868055
12000,6957.854167
12120,6981.263888
12240,6960.659722
12360,6950.375
12480,6954.118055
12600,5981.263888
12720,3485.006945
12840,2562.722222
12960,83.35416667
13080,100.2083333
13200,0
